link,video_count,handle
https://www.tiktok.com/@joolieannie/video/7399736793119247662,53.3M,@joolieannie
https://www.tiktok.com/@joolieannie/video/7425705418330098990,11.9K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7425646819679489323,52.7K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7425306293633633579,107K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7425288919949856043,335.5K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7425252333770018090,118.5K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7425240427030187306,65.1K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7425002016633589034,72K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7424994658423541034,616.1K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7424650065811164459,90.2K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7424628552361987370,156.9K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7424561984114429230,54.3K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7424373080694279467,41.8K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7424354235707428139,169.2K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7424349304954932522,451.6K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7424316439764487467,325.2K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7424160589607357738,119.5K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7424151955284479278,281.2K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7423744738735492398,279.8K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7423742975655693610,79.4K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7423595230882024746,57.2K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7423571032583212330,102.3K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7422804790607957291,74.7K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7422364719358692654,138.2K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7421588766357196075,174.6K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7421135364103965994,188.8K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7421030097001450795,590.2K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7420867398833753390,456K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7420856518972558635,93.7K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7420825378249329963,113.8K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7420575249541975342,106K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7420225163632921899,225.4K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7420183736291052843,85.4K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7419894482767793454,196.1K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7419749862993939758,196.7K,@joolieannie
https://www.tiktok.com/@joolieannie/video/7419713065119173931,1.1M,@joolieannie
