word,count
de,39
cintura,31
es,27
la,25
boteo,21
que,20
en,14
un,10
el,9
mi,8
voy,6
para,6
lo,6
tener,6
como,5
 ,5
muy,5
gusta,5
cómo,4
Qué,4
casa,4
color,4
$,4
Ah,4
se,4
con,4
trabajar,4
La,4
parece,3
coche,3
estar,3
Y,3
mucho,3
forma,3
puse,3
los,3
una,3
Es,2
si,2
ser,2
visto,2
interview,2
vece,2
look,2
bien,2
cosa,2
Pero,2
tú,2
ver,2
mindful,2
Así,2
dimuloso,2
hace,2
yo,2
puedo,2
porque,2
bueno,2
le,2
tiene,2
Eh,2
holaen,2
El,2
hacer,2
luego,2
Baby,2
sabe,2
par,2
más,2
Si,2
Yo,2
mirando,2
extenso,1
Korea,1
resolve,1
ASI,1
p,1
nada,1
debúte,1
convince,1
loMONY,1
fy,1
uno,1
les,1
EN,1
haber,1
ANS,1
debía<|cy|,1
CÓN,1
Pago,1
Noel,1
Kurdistica,1
Estoy,1
modesto,1
>,1
isel,1
myślę,1
V,1
estoy,1
LOS,1
PEL,1
Una,1
vez,1
son,1
comiendo,1
magia,1
FLES,1
dinero,1
Богお願いします,1
försito,1
decimos,1
primaria,1
pusebetween,1
coyote,1
familia,1
doctor,1
n,1
Patty,1
conversation,1
sector,1
aggressive,1
Mmm,1
mariamos,1
te,1
todo,1
aunque,1
це,1
también,1
estaba,1
autóstico,1
Tiere,1
él,1
dizzy,1
em,1
Dye,1
pensando,1
ay,1
unos,1
parcono,1
yosta,1
excuse,1
Selma,1
Ice,1
Simpson,1
Obviamente,1
esa,1
Estamos,1
coste,1
materiales,1
estamos,1
casi,1
ya,1
mirar,1
mis,1
videos,1
vas,1
poco,1
smoky,1
y,1
hood,1
hay,1
rica,1
Marge,1
Ahora,1
vamos,1
honesto,1
sobre,1
estos,1
hígamos,1
siempre,1
habido,1
Por,1
año,1
exclusivamente,1
realidad,1
importante,1
buitufla,1
usted,1
ir,1
última,1
ha,1
hecho,1
va,1
Que,1
decir,1
ven,1
esto,1
esta,1
tranquilo,1
ah,1
Пр,1
crypto,1
Fuéno,1
fú하면,1
Shooting,1
Muy,1
clon,1
cuando,1
Swap,1
Ok,1
noche,1
cabeza,1
puede,1
nueva,1
sólo,1
mí,1
por,1
tanto,1
gran,1
buena,1
oh,1
Un,1
internet,1
sword,1
RW,1
Fan,1
undeljase,1
